Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
359,Ozzie Areu,$288.4,6,$48.1,Boo! A Madea Halloween,$73.2
360,David Giler,$288.3,7,$41.2,Alien,$80.9
361,Elizabeth Banks,$287.9,3,$96.0,Pitch Perfect 2,$184.3
362,Max Handelman,$287.9,3,$96.0,Pitch Perfect 2,$184.3
363,Bob Yari,$284.5,21,$13.5,Crash,$54.6
364,Samuel Hadida,$283.2,17,$16.7,Resident Evil: Apocalypse,$51.2
365,Aaron Ryder,$282.8,15,$18.9,The Mexican,$66.8
366,Dan Halsted,$281.0,10,$28.1,S.W.A.T.,$116.9
367,Robert Kulzer,$280.9,10,$28.1,Resident Evil: Afterlife,$60.1
368,E.L. James,$280.6,2,$140.3,Fifty Shades of Grey,$166.2
369,Gore Verbinski,$279.1,4,$69.8,Rango,$123.5
370,Sean Bailey,$274.6,6,$45.8,Tron Legacy,$172.1
371,Simon Fields,$274.1,10,$27.4,Teenage Mutant Ninja Turtles,$135.3
372,Alfonso Cuaron,$274.1,1,$274.1,Gravity,$274.1
373,Michelle Weisler,$272.7,6,$45.4,The Ring,$129.1
374,Donald De Line,$269.0,4,$67.3,The Italian Job,$106.1
375,Kori Rae,$268.5,1,$268.5,Monsters University,$268.5
376,Marc D. Evans,$266.5,8,$33.3,Safe House,$126.4
377,Andrew Adamson,$266.2,3,$88.7,Puss in Boots,$149.3
378,Will Gluck,$266.0,5,$53.2,Annie (2014),$85.9
379,Johnny Depp,$263.7,5,$52.7,The Lone Ranger,$89.3
380,Denise Nolan Cascino,$259.9,2,$130.0,Megamind,$148.4
381,Nigel Gostelow,$256.4,2,$128.2,Captain America,$176.7
382,Pamela Abdy,$254.3,5,$50.9,Identity Thief,$134.5
383,Albert Berger,$248.5,13,$19.1,Cold Mountain,$95.6
384,Ron Yerxa,$248.5,13,$19.1,Cold Mountain,$95.6
385,Michael Patrick King,$248.0,2,$124.0,Sex and the City,$152.6
386,Eric Ellenbogen,$245.2,4,$61.3,Mr. Peabody & Sherman,$111.5
387,James D. Stern,$244.6,20,$12.2,Looper,$66.5
388,Gigi Pritzker,$244.4,13,$18.8,Ender's Game,$61.7
389,Nick Stoller,$241.3,4,$60.3,The Muppets,$88.6
390,Ted Elliott,$241.1,1,$241.1,Pirates of the Caribbean 4,$241.1
391,Reese Witherspoon,$240.2,3,$80.1,Gone Girl,$167.8
392,Dylan Sellers,$240.0,8,$30.0,A Cinderella Story,$51.4
393,Greg Shapiro,$239.7,13,$18.4,Zero Dark Thirty,$95.7
394,Wes Anderson,$238.6,8,$29.8,The Grand Budapest Hotel,$59.3
395,Pete Docter,$237.3,1,$237.3,Brave,$237.3
396,T.D. Jakes,$233.6,7,$33.4,Heaven is for Real,$91.4
397,Lara Breay,$231.8,2,$115.9,Megamind,$148.4
398,Mark Roybal,$231.3,7,$33.0,No Country for Old Men,$74.3
399,Michael London,$230.1,7,$32.9,Sideways,$71.5
400,Whitney Houston,$227.8,3,$75.9,Princess Diaries,$108.2
401,David Dobkin,$222.1,5,$44.4,Vacation,$58.9
402,Steven Saxton,$221.7,7,$31.7,Lone Survivor,$125.1
403,Toby Jaffe,$221.4,6,$36.9,Blue Streak,$68.5
404,Charlotte Huggins,$219.4,3,$73.1,Journey 2,$103.9
