Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
70,Gary Ross,$798.8,8,$99.8,The Hunger Games,$408.0
71,Judd Apatow,$783.7,11,$71.2,Knocked Up,$148.8
72,Nancy Meyers,$783.3,13,$60.3,Something's Gotta Give,$124.7
73,Daniel Gerson,$780.9,3,$260.3,"Monsters, Inc.",$289.9
74,Shane Black,$772.5,8,$96.6,Iron Man 3,$409.0
75,Lilly & Lana Wachowski,$771.5,8,$96.4,The Matrix Reloaded,$281.6
76,Ethan Coen,$767.4,22,$34.9,True Grit,$171.2
77,Joel Coen,$767.4,22,$34.9,True Grit,$171.2
78,Billy Ray,$757.3,10,$75.7,The Hunger Games,$408.0
79,Damon Lindelof,$751.3,5,$150.3,Star Trek Into Darkness,$228.8
80,Nick Stoller,$749.9,12,$62.5,Fun with Dick and Jane,$110.3
81,Danny Strong,$735.5,3,$245.2,Mockingjay Part 1,$337.1
82,Nora Ephron,$720.3,13,$55.4,Sleepless in Seattle,$126.7
83,Peter Craig,$711.0,3,$237.0,Mockingjay Part 1,$337.1
84,Simon Beaufoy,$708.4,10,$70.8,Catching Fire,$424.7
85,John August,$707.5,10,$70.8,Charlie and the Chocolate Factory,$206.5
86,Thomas Lennon & Ben Garant,$701.7,9,$78.0,Night at the Museum,$250.9
87,Todd Phillips,$699.6,6,$116.6,The Hangover Part II,$254.5
88,Derek Connolly,$689.7,3,$229.9,Jurassic World,$652.3
89,Chris Terrio,$667.8,3,$222.6,Batman v Superman,$330.4
90,Quentin Tarantino,$662.3,10,$66.2,Django Unchained,$162.8
91,Irene Mecchi,$660.1,2,$330.0,Lion King,$422.8
92,Jonathan M. Goldstein,$653.0,5,$130.6,Spider-Man: Homecoming,$334.2
93,Colin Trevorrow,$652.3,1,$652.3,Jurassic World,$652.3
94,Evan Spiliotopoulos,$644.8,5,$129.0,Beauty and the Beast,$504.0
95,Evan Goldberg,$644.8,9,$71.6,Superbad,$121.5
96,Don Rhymer,$642.3,10,$64.2,Rio,$143.6
97,Stephen Chbosky,$641.7,4,$160.4,Beauty and the Beast,$504.0
98,Ed Solomon,$639.8,12,$53.3,Men in Black,$250.7
99,John Gatins,$636.2,9,$70.7,Kong: Skull Island,$168.1
100,Seth Rogen,$630.4,8,$78.8,Superbad,$121.5
