Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
439,Javier Bardem,$722.3,17,$42.5,Skyfall,$304.4
440,Joey King,$722.2,10,$72.2,Oz The Great and Powerful,$234.9
441,Michelle Monaghan,$719.3,19,$37.9,Mission: Impossible III,$134.0
442,Sam Elliott,$718.8,23,$31.3,Hulk,$132.2
443,Matthew Lillard,$716.7,25,$28.7,Scooby-Doo,$153.3
444,Macaulay Culkin,$712.8,11,$64.8,Home Alone,$285.8
445,Peter Sarsgaard,$711.9,27,$26.4,Green Lantern,$116.6
446,Brittany Murphy,$706.9,16,$44.2,Happy Feet,$198.0
447,Rosamund Pike,$706.8,19,$37.2,Gone Girl,$167.8
448,Rhys Ifans,$700.2,28,$25.0,The Amazing Spider-Man,$262.0
449,Andy Samberg,$698.2,12,$58.2,Hotel Transylvania 2,$169.7
450,Zachary Levi,$697.0,5,$139.4,Alvin and the Chipmunks 2,$219.6
451,Bridget Moynahan,$696.6,13,$53.6,"I, Robot",$144.8
452,Timothy Olyphant,$696.0,22,$31.6,Live Free or Die Hard,$134.5
453,Michelle Williams,$694.6,27,$25.7,Oz The Great and Powerful,$234.9
454,Lisa Kudrow,$688.4,21,$32.8,The Boss Baby,$175.0
455,Elle Fanning,$686.2,18,$38.1,Maleficent,$241.4
456,Kelsey Grammer,$684.2,12,$57.0,Transformers 4,$245.4
457,David Schwimmer,$683.0,10,$68.3,Madagascar 3,$216.4
458,Rebecca Romijn,$680.4,8,$85.1,X-Men: The Last Stand,$234.4
459,Frank Langella,$679.5,32,$21.2,Superman Returns,$200.1
460,Josh Hartnett,$678.7,19,$35.7,Pearl Harbor,$198.5
461,Rob Lowe,$673.0,24,$28.0,The Spy Who Shagged Me,$206.0
462,Kat Dennings,$672.2,11,$61.1,Thor: The Dark World,$206.4
463,Justin Timberlake,$670.2,15,$44.7,Trolls,$153.7
464,Imelda Staunton,$669.9,15,$44.7,Harry Potter / Phoenix,$292.0
465,Dan Stevens,$667.3,9,$74.1,Beauty and the Beast,$504.0
466,Ben Whishaw,$666.8,13,$51.3,Skyfall,$304.4
467,Goldie Hawn,$665.4,18,$37.0,First Wives Club,$105.5
468,Andrew Garfield,$663.4,12,$55.3,The Amazing Spider-Man,$262.0
469,Margot Robbie,$662.7,8,$82.8,Suicide Squad,$325.1
470,Miles Teller,$659.5,16,$41.2,Divergent,$150.9
471,Ginnifer Goodwin,$657.3,9,$73.0,Zootopia,$341.3
472,Luke Wilson,$656.7,32,$20.5,Legally Blonde,$96.5
473,Michael K. Williams,$656.1,15,$43.7,The Incredible Hulk,$134.8
474,Morris Chestnut,$648.4,15,$43.2,Identity Thief,$134.5
475,Maggie Smith,$647.6,22,$29.4,Sister Act,$139.6
476,Michael Ealy,$645.6,13,$49.7,Think Like a Man,$91.5
477,Charlie Day,$641.4,8,$80.2,The LEGO Movie,$257.8
478,Tina Fey,$640.8,11,$58.3,Megamind,$148.4
479,Jackie Earle Haley,$639.6,16,$40.0,Shutter Island,$128.0
480,Ioan Gruffudd,$631.3,15,$42.1,San Andreas,$155.2
481,Jared Leto,$630.0,12,$52.5,Suicide Squad,$325.1
482,Sarah Michelle Gellar,$627.4,13,$48.3,Scooby-Doo,$153.3
483,Elizabeth Debicki,$624.7,6,$104.1,Guardians of the Galaxy 2,$389.8
484,Felicity Jones,$622.7,14,$44.5,Rogue One,$532.2
485,Paula Patton,$622.1,13,$47.9,Mission: Impossible 4,$209.4
486,Edgar Ramirez,$620.3,11,$56.4,The Bourne Ultimatum,$227.5
487,Leslie Nielsen,$617.9,19,$32.5,Scary Movie 3,$110.0
488,Larry the Cable Guy,$617.0,7,$88.1,Cars,$244.1
489,Ansel Elgort,$616.0,7,$88.0,Divergent,$150.9
490,Beyonce Knowles,$613.1,7,$87.6,Goldmember,$213.3
491,Annette Bening,$608.0,27,$22.5,American Beauty,$130.1
492,Taylor Kitsch,$605.9,10,$60.6,X-Men Origins: Wolverine,$179.9
493,Adrien Brody,$603.2,32,$18.9,King Kong,$218.1
494,Rebecca Ferguson,$602.5,7,$86.1,M:I - Rogue Nation,$195.0
495,Paul Dano,$601.6,26,$23.1,Cowboys & Aliens,$100.2
496,Katie Holmes,$601.5,23,$26.2,Batman Begins,$206.9
497,Radha Mitchell,$600.0,24,$25.0,Olympus Has Fallen,$98.9
498,Parker Posey,$599.7,33,$18.2,Superman Returns,$200.1
499,Garrett Hedlund,$598.2,13,$46.0,Tron Legacy,$172.1
500,Kyle Gallner,$596.0,14,$42.6,American Sniper,$350.1
501,John Corbett,$591.7,13,$45.5,My Big Fat Greek Wedding,$241.4
502,Dan Fogler,$589.5,12,$49.1,Fantastic Beasts and Where To Find Them,$234.0
503,Roger Moore,$587.8,15,$39.2,The Cannonball Run,$72.2
504,Rodrigo Santoro,$584.0,9,$64.9,300,$210.6
505,Shailene Woodley,$583.2,8,$72.9,Divergent,$150.9
506,Derek Luke,$582.8,17,$34.3,Captain America,$176.7
507,Piper Perabo,$581.2,16,$36.3,Cheaper by the Dozen,$138.6
508,Adam Scott,$580.1,26,$22.3,Step Brothers,$100.5
509,Courteney Cox,$579.5,14,$41.4,Bedtime Stories,$110.1
510,James Gandolfini,$578.2,28,$20.6,Crimson Tide,$91.4
511,Eva Green,$574.9,12,$47.9,Casino Royale,$167.4
512,America Ferrera,$574.6,14,$41.0,How to Train Your Dragon,$217.6
513,Patrick Swayze,$574.5,24,$23.9,Ghost,$217.6
514,Sharlto Copley,$573.3,10,$57.3,Maleficent,$241.4
515,Jamie Bell,$572.8,18,$31.8,King Kong,$218.1
516,Ezra Miller,$572.5,11,$52.0,Fantastic Beasts and Where To Find Them,$234.0
517,Chadwick Boseman,$571.9,5,$114.4,Captain America 3,$408.1
518,Olivia Wilde,$571.5,21,$27.2,Tron Legacy,$172.1
519,Jamie Chung,$570.9,9,$63.4,The Hangover Part II,$254.5
520,Alice Eve,$567.4,15,$37.8,Star Trek Into Darkness,$228.8
521,Dominic Cooper,$563.5,18,$31.3,Captain America,$176.7
522,Lena Headey,$554.3,22,$25.2,300,$210.6
523,Claire Danes,$552.8,23,$24.0,Terminator 3,$150.4
524,Ali Larter,$552.7,12,$46.1,Legally Blonde,$96.5
525,Marlon Brando,$552.5,12,$46.0,The Godfather,$135.0
526,Jennifer Coolidge,$551.6,14,$39.4,Legally Blonde,$96.5
527,Lance Henriksen,$548.4,24,$22.9,Scream 3,$89.1
528,Anne Bancroft,$548.0,28,$19.6,The Graduate,$104.9
529,Clive Owen,$547.0,26,$21.0,Inside Man,$88.5
530,Tony Cox,$546.9,10,$54.7,Oz The Great and Powerful,$234.9
531,Will Forte,$546.0,14,$39.0,The LEGO Movie,$257.8
532,Ben Foster,$543.5,23,$23.6,Lone Survivor,$125.1
533,Mike Vogel,$537.7,11,$48.9,The Help,$169.7
534,Teresa Palmer,$536.1,17,$31.5,Bedtime Stories,$110.1
535,Mia Wasikowska,$534.2,17,$31.4,Alice in Wonderland,$334.2
536,Cam Gigandet,$534.1,12,$44.5,Twilight,$192.8
537,Sydney Pollack,$533.3,10,$53.3,Tootsie,$177.2
538,Milla Jovovich,$531.0,25,$21.2,Fifth Element,$63.8
539,Kate Bosworth,$529.3,19,$27.9,Superman Returns,$200.1
540,Daniel Day-Lewis,$523.6,15,$34.9,Lincoln,$182.2
541,Eddie Redmayne,$519.0,9,$57.7,Fantastic Beasts and Where To Find Them,$234.0
542,"Freddie Prinze, Jr.",$518.7,16,$32.4,Scooby-Doo,$153.3
543,Taron Egerton,$518.2,6,$86.4,Sing,$270.3
544,Gemma Arterton,$517.4,13,$39.8,Quantum of Solace,$168.4
545,David Oyelowo,$517.0,14,$36.9,Rise of the Planet of the Apes,$176.8
546,Tracy Morgan,$516.5,14,$36.9,Rio 2,$131.5
547,Armie Hammer,$516.4,11,$46.9,Cars 3,$152.9
548,Amy Ryan,$511.7,21,$24.4,Central Intelligence,$127.4
549,Brie Larson,$509.6,9,$56.6,Kong: Skull Island,$168.1
550,Rosie Huntington-Whiteley,$506.4,2,$253.2,Transformers 3,$352.4
551,Logan Lerman,$505.9,14,$36.1,Noah,$101.2
552,Michelle Yeoh,$503.3,10,$50.3,Kung Fu Panda 2,$165.2
553,Lindsay Lohan,$492.4,15,$32.8,Freaky Friday,$110.2
554,Amber Heard,$491.8,16,$30.7,Justice League,$201.4
555,Rufus Sewell,$489.1,21,$23.3,Hercules,$72.7
556,Sanaa Lathan,$488.8,15,$32.6,Alien Vs. Predator,$80.3
557,Brenton Thwaites,$487.4,5,$97.5,Maleficent,$241.4
558,Zhang Ziyi,$485.9,10,$48.6,Rush Hour 2,$226.2
