,FCP,MAE,RMSE,k,similarity_metric,user-based?,algorithm
145,0.691016889059,0.744209283098,0.952738471802,60,pearson_baseline,True,100k_KNNWithMeans_Results.csv
146,0.690781088578,0.744490936788,0.952910730313,70,pearson_baseline,True,100k_KNNWithMeans_Results.csv
147,0.690910444704,0.74465935639,0.953041266964,80,pearson_baseline,True,100k_KNNWithMeans_Results.csv
148,0.690786835682,0.744763812128,0.953112986573,90,pearson_baseline,True,100k_KNNWithMeans_Results.csv
149,0.69076758542,0.744826524967,0.95315865942,100,pearson_baseline,True,100k_KNNWithMeans_Results.csv
150,0.700886860151,0.741486710495,0.952435700199,10,pearson_baseline,False,100k_KNNWithMeans_Results.csv
151,0.706486405551,0.734894635463,0.941510869863,20,pearson_baseline,False,100k_KNNWithMeans_Results.csv
152,0.707983645181,0.733883741713,0.939605490901,30,pearson_baseline,False,100k_KNNWithMeans_Results.csv
153,0.708139503953,0.733876270055,0.939092613874,40,pearson_baseline,False,100k_KNNWithMeans_Results.csv
154,0.707640863552,0.73408222461,0.939079136288,50,pearson_baseline,False,100k_KNNWithMeans_Results.csv
155,0.707291084956,0.734339735643,0.939208135391,60,pearson_baseline,False,100k_KNNWithMeans_Results.csv
156,0.707016891263,0.734537913726,0.939333984236,70,pearson_baseline,False,100k_KNNWithMeans_Results.csv
157,0.706936016117,0.734652310246,0.939394720494,80,pearson_baseline,False,100k_KNNWithMeans_Results.csv
158,0.706815845559,0.734710690584,0.939434727763,90,pearson_baseline,False,100k_KNNWithMeans_Results.csv
159,0.706672692701,0.734773162573,0.939484664543,100,pearson_baseline,False,100k_KNNWithMeans_Results.csv
160,0.661616100309,0.783337940095,0.995562256894,10,cosine,True,100k_KNNWithZScore_Results.csv
161,0.680243565077,0.764347020505,0.970480244705,20,cosine,True,100k_KNNWithZScore_Results.csv
162,0.686342938783,0.758591076199,0.963729133136,30,cosine,True,100k_KNNWithZScore_Results.csv
163,0.689665974877,0.755402254107,0.960102194588,40,cosine,True,100k_KNNWithZScore_Results.csv
164,0.688803841471,0.754071601302,0.958821239607,50,cosine,True,100k_KNNWithZScore_Results.csv
165,0.688928254353,0.753510416012,0.95830695957,60,cosine,True,100k_KNNWithZScore_Results.csv
166,0.688400474348,0.753242715393,0.958287450956,70,cosine,True,100k_KNNWithZScore_Results.csv
167,0.688266034788,0.753166667889,0.958367585954,80,cosine,True,100k_KNNWithZScore_Results.csv
168,0.687911678851,0.75312959177,0.958634290855,90,cosine,True,100k_KNNWithZScore_Results.csv
169,0.687096630866,0.75341311273,0.959068546793,100,cosine,True,100k_KNNWithZScore_Results.csv
170,0.664036713232,0.777633063693,0.989902865176,10,cosine,False,100k_KNNWithZScore_Results.csv
171,0.679812918017,0.757049990418,0.964011276565,20,cosine,False,100k_KNNWithZScore_Results.csv
172,0.687387623292,0.74995249127,0.954479117562,30,cosine,False,100k_KNNWithZScore_Results.csv
173,0.690308568725,0.747084657335,0.950673899561,40,cosine,False,100k_KNNWithZScore_Results.csv
174,0.69213934239,0.745665661562,0.948707839574,50,cosine,False,100k_KNNWithZScore_Results.csv
175,0.692998083249,0.744913822786,0.9479618937,60,cosine,False,100k_KNNWithZScore_Results.csv
176,0.693425069301,0.744791213125,0.947754394895,70,cosine,False,100k_KNNWithZScore_Results.csv
177,0.693492135308,0.74486209438,0.947945889148,80,cosine,False,100k_KNNWithZScore_Results.csv
178,0.692865786414,0.745343480644,0.948335656858,90,cosine,False,100k_KNNWithZScore_Results.csv
179,0.692585184128,0.74571518225,0.948820360174,100,cosine,False,100k_KNNWithZScore_Results.csv
180,0.667027980396,0.772658566471,0.983736263559,10,msd,True,100k_KNNWithZScore_Results.csv
181,0.682697143511,0.756708198584,0.963509276341,20,msd,True,100k_KNNWithZScore_Results.csv
182,0.687544360039,0.752255863612,0.957904232034,30,msd,True,100k_KNNWithZScore_Results.csv
183,0.690718972358,0.750261239104,0.955529732658,40,msd,True,100k_KNNWithZScore_Results.csv
184,0.690474510778,0.74969569603,0.954858804864,50,msd,True,100k_KNNWithZScore_Results.csv
185,0.690300350836,0.749295044033,0.954540620608,60,msd,True,100k_KNNWithZScore_Results.csv
186,0.690597814552,0.749458886546,0.954805190644,70,msd,True,100k_KNNWithZScore_Results.csv
187,0.690530157383,0.74946207798,0.954971752938,80,msd,True,100k_KNNWithZScore_Results.csv
188,0.690037042202,0.74982539855,0.955388282489,90,msd,True,100k_KNNWithZScore_Results.csv
189,0.689819735564,0.7501112107,0.955773586381,100,msd,True,100k_KNNWithZScore_Results.csv
190,0.668988291995,0.762141466791,0.973019462563,10,msd,False,100k_KNNWithZScore_Results.csv
191,0.683494285592,0.745519118563,0.951044933811,20,msd,False,100k_KNNWithZScore_Results.csv
192,0.688927121964,0.740826218871,0.944754880652,30,msd,False,100k_KNNWithZScore_Results.csv
193,0.691482284126,0.739217476133,0.94228518263,40,msd,False,100k_KNNWithZScore_Results.csv
194,0.69269869049,0.738954303378,0.941429338741,50,msd,False,100k_KNNWithZScore_Results.csv
195,0.693179167598,0.738977225391,0.941378181968,60,msd,False,100k_KNNWithZScore_Results.csv
196,0.693468862751,0.739344445128,0.941640762929,70,msd,False,100k_KNNWithZScore_Results.csv
